Category,Product,Subject,Notification Reason,Bivalve Specie,Date,Day,Month,Year,Class,Decision
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norivirus genogroup I and II in clams from Italy,Norovirus,Clams,23 MAY 2023,23,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Presence of Salmonella and E.coli in Japonica clams (Venerupis philippinarum) from Portugal,Salmonella and E.coli,Clams,19 MAY 2023,19,MAY,2023,alert notification,serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Portugal,Norovirus,Clams,19 MAY 2023,19,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,E. Coli superiore ai 230 MPN in vongole (Chamelea gallina) raccolte in area di produzione di tipo A//E. Coli above 230 MPN in clams (Chamelea gallina) harvested in the type A production area//,E.coli,Clams,17 MAY 2023,17,MAY,2023,alert notification,serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Portugal,Norovirus,Clams,19 MAY 2023,19,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,E. Coli superiore ai 230 MPN in vongole (Chamelea gallina) raccolte in area di produzione di tipo A//E. Coli above 230 MPN in clams (Chamelea gallina) harvested in the type A production area//,E.coli,Clams,17 MAY 2023,17,MAY,2023,alert notification,serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in clams from Italy,Norovirus,Clams,17 MAY 2023,17,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in clams from Italy,Norovirus,Clams,17 MAY 2023,17,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in clams from Italy,Norovirus,Clams,17 MAY 2023,17,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in clams from Italy,Norovirus,Clams,17 MAY 2023,17,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in clams from Italy,Norovirus,Clams,17 MAY 2023,17,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup i and ii in japanese clam from Portugal,Norovirus,Clams,15 MAY 2023,15,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Presence of Norovirus type I in oysters (Crassostrea gigas) from France,Norovirus,Oysters,10 MAY 2023,10,MAY,2023,information notification for attention,not serious
Bivalve molluscs and products...,food,Presence of Norovirus type I in oysters (Crassostrea gigas) from France,Norovirus,Oysters,10 MAY 2023,10,MAY,2023,information notification for attention,not serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp in frozen precooked mussels from Chile,Salmonella,Mussels,17 APR 2023,17,APR,2023,information notification for attention,serious
